system:index,area,class,ring,year,.geo
1_1_1_1_1_1_1_2_0,2.410127902786497E8,10,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_1,1.8811825350060314E7,20,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_2,2347518.6822169884,30,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_3,1.7110385074072971E9,40,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_4,6.2458383934283085E7,50,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_5,8.444748423160425E7,60,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_6,0,70,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_7,1.635797209993949E8,80,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_8,1.574602070322936E7,90,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_9,0,95,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_10,0,100,0-2km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0,3.358352366188698E8,10,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1,3.2338593884334795E7,20,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2,5.7882329574258E7,30,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3,1.655419613940653E9,40,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4,6.73917664058297E7,50,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5,4.167304156839767E7,60,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6,0,70,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7,1.05445860050203E8,80,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8,3455809.544189453,90,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9,0,95,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10,0,100,0-2km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_0,1.8785345976815438E8,10,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_1,7022105.998751533,20,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_2,1260827.9116230085,30,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_3,1.7444558048792999E9,40,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_4,8.374844234988126E7,50,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_5,4.058598510355009E7,60,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_6,0,70,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_7,6248585.173919079,80,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_8,908396.1679649205,90,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_9,0,95,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_10,0,100,2-4km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0,2.46497832552135E8,10,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_1,1.0156226123368565E7,20,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_2,2.141236921585765E7,30,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_3,1.6901552851429155E9,40,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_4,9.291570194125783E7,50,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_5,5897339.1958974805,60,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_6,0,70,2-4km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
