system:index,class,count,state,total_area,year,.geo
1_1_1_0,C1_<1ha,1553,Punjab,1110.4527171847226,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1,C2_1-50ha,2040,Punjab,7457.565013781404,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,C3_50-100ha,37,Punjab,2543.5578468555163,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,C4_100-200ha,12,Punjab,1840.715428855992,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4,C5_200-300ha,4,Punjab,930.0452875032252,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5,C6_>300ha,10,Punjab,24737.171711481482,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,C1_<1ha,1517,Punjab,1080.7264175629114,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,C2_1-50ha,2145,Punjab,8272.888311378767,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,C3_50-100ha,39,Punjab,2634.214046274038,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,C4_100-200ha,11,Punjab,1471.4362204365543,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,C5_200-300ha,4,Punjab,865.9826237151252,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,C6_>300ha,11,Punjab,25459.935465285038,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,C1_<1ha,1679,Punjab,1209.2901445212283,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,C2_1-50ha,2327,Punjab,9366.186612952928,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,C3_50-100ha,47,Punjab,3248.5802351567545,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,C4_100-200ha,10,Punjab,1492.8557150941497,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,C5_200-300ha,2,Punjab,475.66899203300324,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,C6_>300ha,13,Punjab,27009.83285816283,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_0,C1_<1ha,1676,Uttarakhand,1190.7596021486486,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1,C2_1-50ha,2807,Uttarakhand,13608.574595826256,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2,C3_50-100ha,55,Uttarakhand,3708.1498040253564,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_3,C4_100-200ha,30,Uttarakhand,4184.404933754015,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_4,C5_200-300ha,2,Uttarakhand,427.0549898759805,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_5,C6_>300ha,20,Uttarakhand,26985.02778967672,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_0,C1_<1ha,1159,Uttarakhand,814.3719505595841,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_1,C2_1-50ha,1790,Uttarakhand,8795.561227100723,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_2,C3_50-100ha,31,Uttarakhand,2145.411516996012,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_3,C4_100-200ha,16,Uttarakhand,2181.4102459464534,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_4,C5_200-300ha,4,Uttarakhand,1013.5251847094787,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_5,C6_>300ha,16,Uttarakhand,27980.76478605441,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,C1_<1ha,1522,Uttarakhand,1087.1208276871564,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1,C2_1-50ha,2551,Uttarakhand,12834.28538534744,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2,C3_50-100ha,35,Uttarakhand,2312.6719731461903,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_3,C4_100-200ha,14,Uttarakhand,1872.0263987888518,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_4,C5_200-300ha,6,Uttarakhand,1409.1543716430979,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_5,C6_>300ha,17,Uttarakhand,28924.78565339216,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
