system:index,class,count,state,total_area,year,.geo
1_1_1_0,C1_<1ha,1553,Punjab,1110.4527171875507,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1,C2_1-50ha,2040,Punjab,7457.5650139686995,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,C3_50-100ha,37,Punjab,2543.5578469046472,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,C4_100-200ha,12,Punjab,1840.7154288627546,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4,C5_200-300ha,4,Punjab,930.0452875028657,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5,C6_>300ha,10,Punjab,24737.171709666058,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,C1_<1ha,527,Punjab,359.13507174237617,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,C2_1-50ha,528,Punjab,2949.2267835063694,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,C3_50-100ha,20,Punjab,1323.6172443948378,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,C4_100-200ha,13,Punjab,1842.3674297450389,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,C5_200-300ha,5,Punjab,1150.3333646453846,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,C6_>300ha,10,Punjab,11815.007281501446,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,C1_<1ha,549,Punjab,386.11676858172484,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,C2_1-50ha,678,Punjab,3594.291952178842,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,C3_50-100ha,13,Punjab,909.8437171269084,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,C4_100-200ha,11,Punjab,1645.5716213235207,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,C5_200-300ha,2,Punjab,455.1955450284069,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,C6_>300ha,5,Punjab,6449.831009712194,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_0,C1_<1ha,1676,Uttarakhand,1190.759602150372,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1,C2_1-50ha,2807,Uttarakhand,13608.574595772225,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2,C3_50-100ha,55,Uttarakhand,3708.149803561465,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_3,C4_100-200ha,30,Uttarakhand,4184.404935708485,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_4,C5_200-300ha,2,Uttarakhand,427.05498987597514,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_5,C6_>300ha,20,Uttarakhand,26985.027790099728,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_0,C1_<1ha,964,Uttarakhand,669.1369216919726,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_1,C2_1-50ha,1214,Uttarakhand,6021.424765650911,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_2,C3_50-100ha,26,Uttarakhand,1909.879434299406,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_3,C4_100-200ha,15,Uttarakhand,2196.335730934577,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_4,C5_200-300ha,10,Uttarakhand,2416.175582668205,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_5,C6_>300ha,19,Uttarakhand,27482.084365506846,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,C1_<1ha,1399,Uttarakhand,975.5494622098325,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1,C2_1-50ha,1450,Uttarakhand,6381.478807932606,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2,C3_50-100ha,17,Uttarakhand,1235.0315304953351,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_3,C4_100-200ha,3,Uttarakhand,446.35016490837944,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_4,C5_200-300ha,5,Uttarakhand,1296.4502874102964,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_5,C6_>300ha,13,Uttarakhand,18499.41385687054,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
