system:index,area,class,ring,state,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_2_0,2.962622864057062E8,0,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_1,4.5895573042776597E8,1,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_2,3330754.9187672334,2,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_3,1.3178961474597886E7,3,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_4,4.472884204265843E9,4,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_5,2.0623330973565795E7,5,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_6,4.677664900120108E8,6,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_7,1.217232819104722E8,7,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_8,4287.4150390625,8,0-2km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_0,3.0357266570323896E8,0,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_1,3.98778507706205E8,1,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_2,9026923.288529221,2,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_3,1.6851655391472314E7,3,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_4,4.593515057738691E9,4,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_5,2.083347655630936E7,5,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_6,4.7887830880147237E8,6,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_7,3.3242880921558093E7,7,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_8,29851.6962890625,8,0-2km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_0,3.2978297013847363E8,0,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_1,4.43920333889906E8,1,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_2,5266756.175251801,2,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_3,7691496.679104435,3,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_4,4.3845090680146055E9,4,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_5,1.6230043843341183E7,5,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_6,5.406503820035461E8,6,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_7,1.2667184134493816E8,7,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_8,6435.714599609375,8,0-2km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_0,1.3061712778875614E7,0,2-4km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_1,2.765116227128187E8,1,2-4km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_2,221878.7785903033,2,2-4km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_3,356426.55273246014,3,2-4km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_4,4.1607919693251457E9,4,2-4km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
